Test 0,6.51,7.02,7.53,8.04,8.55,9.06,9.57,10.08,10.51,10.92,11.33,11.74,12.04,12.25,12.75,12.76,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97
Firm Name,firm y,firm y,firm y,firm y,firm y,firm y,firm y,firm y,firm x,firm y,firm x,firm y,firm x,firm y,firm x,firm y,firm y,firm y,firm y,firm y,firm y,firm y,firm y,firm y,firm y,firm y,firm y,firm y,firm y,firm y,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm z,firm z,firm z,firm z,firm z,firm z,firm z,firm z,firm z,firm z,firm z,firm z,firm z,firm z,firm z,firm z,firm z,firm z,firm z,firm z,firm z,firm z,firm z,firm z,firm z,firm z,firm z,firm z,firm z,firm z,firm z,firm z,firm z,firm z,firm z,firm z,firm z,firm z,firm z,firm z,firm z,firm z,firm z,firm z,firm z,firm z,firm z,firm z,firm z,firm z

test 1,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Firm Name,firm y,firm y,firm y,firm y,firm y,firm y,firm y,firm y,firm y,firm y,firm y,firm y,firm y,firm y,firm y,firm y,firm y,firm y,firm y,firm y,firm y,firm y,firm y,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm z,firm z,firm z,firm z,firm z,firm z,firm z,firm z,firm z,firm z,firm z,firm z,firm z,firm z,firm z,firm z,firm z,firm z,firm z,firm z,firm z,firm z,firm z,firm z,firm z,firm z,firm z,firm z,firm z,firm z,firm z,firm z,firm z,firm z,firm z,firm z,firm z,firm z,firm z,firm z,firm z,firm z,firm z,firm z,firm z,firm z,firm z,firm z,firm z,firm z,firm z,firm z,firm z

test 2,10.51,11.22,11.93,12.44,12.64,12.95,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,11.36,11.36,11.36,11.36,11.36,11.36,11.36,11.36,11.36,11.36,11.36,11.36,11.36,11.36,11.36,11.36,11.36,11.36,11.36,11.36,11.36,11.36,11.36,10.0,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06
Firm Name,firm c,firm c,firm c,firm b,firm a,firm b,firm b,firm b,firm b,firm b,firm b,firm b,firm b,firm b,firm b,firm b,firm b,firm b,firm b,firm b,firm b,firm b,firm b,firm b,firm b,firm b,firm b,firm a,firm a,firm a,firm a,firm a,firm a,firm a,firm a,firm a,firm a,firm a,firm a,firm a,firm a,firm a,firm a,firm a,firm a,firm a,firm a,firm a,firm a,firm a,firm c,firm c,firm c,firm c,firm c,firm c,firm c,firm c,firm c,firm c,firm c,firm c,firm c,firm c,firm c,firm c,firm c,firm c,firm c,firm c,firm c,firm c,firm c,firm a,firm c,firm c,firm c,firm c,firm c,firm c,firm c,firm c,firm c,firm c,firm c,firm c,firm c,firm c,firm c,firm c,firm c,firm c,firm c,firm c,firm c,firm c,firm c,firm c,firm c,firm c,firm c

test 3,5.01,5.52,6.03,6.54,7.05,7.56,8.07,8.58,9.09,9.6,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.01,8.91,8.8,8.68,8.55,8.4,8.25,8.07,7.88,7.66,7.43,7.27,7.11,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.33,5.9,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62
Firm Name,firm y,firm y,firm y,firm y,firm y,firm y,firm y,firm y,firm y,firm y,firm y,firm y,firm y,firm y,firm y,firm y,firm y,firm y,firm y,firm y,firm y,firm y,firm y,firm y,firm y,firm y,firm y,firm y,firm y,firm y,firm y,firm y,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm y,firm x,firm AVG,firm AVG,firm AVG,firm AVG,firm AVG,firm AVG,firm AVG,firm AVG,firm AVG,firm AVG,firm AVG,firm AVG,firm AVG,firm AVG,firm AVG,firm AVG,firm AVG,firm AVG,firm AVG,firm AVG,firm AVG,firm AVG,firm AVG,firm AVG,firm AVG,firm AVG,firm AVG

test 4,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.01,8.91,8.8,8.68,8.55,8.4,8.25,8.07,7.88,7.66,7.43,7.27,7.11,6.94,6.77,6.59,6.41,6.22,6.04,5.85,5.67,5.5,5.32,5.14,4.96,4.78,4.6,4.42,4.24,4.06,3.88,3.7,3.52,3.34,3.16,2.98,2.8,2.62,2.44,2.26,2.08,1.9,1.72,1.54,1.36,1.18,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
Firm Name,firm y,firm y,firm y,firm y,firm y,firm y,firm y,firm y,firm y,firm y,firm y,firm y,firm y,firm y,firm y,firm y,firm y,firm y,firm y,firm y,firm y,firm y,firm y,firm y,firm y,firm y,firm y,firm y,firm y,firm y,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x

test 5,10.41,10.91,11.41,11.91,12.41,12.91,13.41,13.91,14.41,14.91,15.0,14.91,14.91,14.91,14.91,14.91,14.91,14.91,14.91,14.91,14.91,14.91,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.39,9.39,9.39,9.39,9.39,9.39,9.39,9.39,9.39,9.39,9.39,9.39,9.39,9.39,9.39,9.39,9.39,9.39,9.39,9.39,9.39,9.39,9.39,9.39,9.39,9.39,9.39,9.39,9.39,9.39,9.39,8.91,5.01,3.9,1.11,1.11,1.11,0.57,0.54,0.48,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.03,0.03,0.0
Firm Name,firm y,firm y,firm y,firm y,firm y,firm y,firm y,firm y,firm y,firm y,firm SH,firm y,firm y,firm y,firm y,firm y,firm y,firm y,firm y,firm y,firm y,firm y,firm SH,firm SH,firm SH,firm SH,firm SH,firm SH,firm SH,firm SH,firm SH,firm SH,firm SH,firm SH,firm SH,firm SH,firm SH,firm SH,firm SH,firm SH,firm SH,firm SH,firm SH,firm SH,firm SH,firm SH,firm SH,firm SH,firm SH,firm SH,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm x,firm y,firm x,firm SH,firm x,firm x,firm x,firm SH,firm x,firm SH,firm y,firm y,firm y,firm y,firm y,firm y,firm y,firm SH,firm y,firm x,firm y

